1.1.a.1: Survey Date,Region P-CODE,Zone P-CODE,Woreda P-CODE,1.4.a.1: Site Open Date,1.5.e.1: Displacement Reason,1.5.b.1: Region (Largest IDP group) ,1.5.b.2: Zone (Largest IDP group),1.5.b.3: Woreda (Largest IDP group),1.5.c.1: Region (2nd largest IDP group),1.5.c.2: Zone (2nd largest IDP group),1.5.c.3: Woreda (2nd largest IDP group),2.1.a.1: Total HHs,2.1.b.1: Total Individuals,2.3.c.1: Date of arrival of first IDP group,2.3.c.2: Is date known for arrival of last IDP group,2.3.c.2: Date of arrival of last IDP group,2.3.b.4: Have IDPs been displaced previously?,2.3.j.1: IDPs leaving place of displacement?,2.3.e.7: Are there factors which are preventing the largest IDP group from returning?,2.3.e.7: Accessibility,2.3.e.7: Lack of food,2.3.e.7: House damaged/destroyed,2.3.e.7: Lack of safety/security,2.3.e.7: No livelihood,2.3.e.7: Basic infrastructures damaged/flooded,2.3.l.1: What durable solution do majority of IDPs perfer at the site?,2.3.l.2: What support do majority of the IDPs need to return or locally reintegrate?,2.3.l.2: Livelihood,2.3.l.2: Land/Resources,2.3.l.2: ID/Documentation,2.3.l.2: Access to services,2.3.l.2: Safety & Security,2.3.l.2: Livestock/Restocking
28 November 2017,ET04,ET0410,ET041015,18-09-2017,Conflict,ET05,ET0502,ET040210,,,,107,160,18-09-2017,Yes,20-11-2017,No,No,house damaged destroyed lack of security safety,No,No,Yes,Yes,No,No,Relocation,,,,,,,
27 November 2017,ET04,ET0410,ET041015,20-09-2017,Conflict,ET05,ET0502,ET040210,Somali,Fafan,Tog-Wajale,27,109,20-09-2017,Yes,24-11-2017,No,No,house damaged destroyed lack of security safety,No,No,Yes,Yes,No,No,Relocation,,,,,,,
28 November 2017,ET04,ET0410,ET041015,18-11-2017,Conflict,ET05,ET0502,ET040210,Somali,Fafan,Tog-Wajale,49,110,18-11-2017,Yes,24-11-2017,No,No,house damaged destroyed lack of security safety,No,No,Yes,Yes,No,No,Relocation,,,,,,,
28 November 2017,ET04,ET0410,ET041015,19-09-2017,Conflict,ET05,ET0502,ET040210,Somali,Fafan,Tog-Wajale,65,343,19-09-2017,Yes,23-11-2017,No,No,Lack of safety/security,No,No,No,Yes,No,No,Relocation,,,,,,,
23 November 2017,ET04,ET0410,ET041015,24-09-2017,Conflict,ET05,ET0502,ET0411,,,,54,275,24-09-2017,Yes,29-09-2017,No,No,accessibility lack of food house damaged destroyed lack of security safety,Yes,Yes,Yes,Yes,No,No,Relocation,,,,,,,
23 November 2017,ET04,ET0410,ET041015,25-09-2017,Conflict,ET05,ET0502,ET040210,,,,85,282,25-09-2017,Yes,21-11-2017,No,No,accessibility lack of food house damaged destroyed lack of security safety no livelihood,Yes,Yes,Yes,Yes,Yes,No,Relocation,,,,,,,
24 November 2017,ET04,ET0410,ET041015,14-09-2017,Conflict,ET05,ET0502,ET040210,,,,54,219,14-09-2017,Yes,18-11-2017,No,No,accessibility lack of food house damaged destroyed lack of security safety no livelihood basic infrastructures damage,Yes,Yes,Yes,Yes,Yes,Yes,Relocation,,,,,,,
24 November 2017,ET04,ET0410,ET041015,22-09-2017,Conflict,ET05,ET0502,ET040210,,,,255,1303,22-09-2017,Yes,24-11-2017,No,No,accessibility lack of food house damaged destroyed lack of security safety,Yes,Yes,Yes,Yes,No,No,Relocation,,,,,,,
24 November 2017,ET04,ET0410,ET041015,21-09-2017,Conflict,ET05,ET0502,ET040210,,,,288,1263,21-09-2017,Yes,15-11-2017,No,No,accessibility lack of food house damaged destroyed lack of security safety,Yes,Yes,Yes,Yes,No,No,Relocation,,,,,,,
23 November 2017,ET04,ET0410,ET041015,10-09-2017,Conflict,ET05,ET0502,ET040210,Somali,Fafan,Tog-Wajale,112,358,10-09-2017,Yes,22-10-2017,No,No,accessibility lack of food house damaged destroyed lack of security safety,Yes,Yes,Yes,Yes,No,No,Relocation,,,,,,,
23 November 2017,ET04,ET0410,ET041015,26-09-2017,Conflict,ET05,ET0502,ET0411,,,,119,256,26-09-2017,Yes,09-10-2017,No,No,accessibility lack of food house damaged destroyed lack of security safety,Yes,Yes,Yes,Yes,No,No,Relocation,,,,,,,
23 November 2017,ET04,ET0410,ET041015,18-09-2017,Conflict,ET05,ET0502,ET040210,,,,85,489,18-09-2017,Yes,20-11-2017,No,No,accessibility lack of food house damaged destroyed lack of security safety no livelihood,Yes,Yes,Yes,Yes,Yes,No,Relocation,,,,,,,
23 November 2017,ET04,ET0410,ET041015,29-09-2017,Conflict,ET05,ET0502,ET040210,,,,229,1185,29-09-2017,Yes,20-11-2017,No,No,accessibility lack of food house damaged destroyed lack of security safety no livelihood,Yes,Yes,Yes,Yes,Yes,No,Relocation,,,,,,,
23 November 2017,ET04,ET0410,ET041015,28-09-2017,Conflict,ET05,ET0502,ET0411,,,,53,145,28-09-2017,Yes,23-11-2017,No,No,accessibility lack of food house damaged destroyed lack of security safety no livelihood basic infrastructures damage,Yes,Yes,Yes,Yes,Yes,Yes,Relocation,,,,,,,
27 November 2017,ET04,ET0410,ET041003,21-09-2017,Conflict,ET05,ET0502,ET040210,,,,51,143,21-09-2017,Yes,14-11-2017,No,No,house damaged destroyed lack of security safety,No,No,Yes,Yes,No,No,Relocation,,,,,,,
27 November 2017,ET04,ET0410,ET041003,19-09-2017,Conflict,ET05,ET0502,ET040210,,,,38,208,19-09-2017,Yes,15-11-2017,No,No,Unknown,No,No,No,No,No,No,Relocation,,,,,,,
26 November 2017,ET04,ET0410,ET041003,13-09-2017,Conflict,ET05,ET0502,ET040210,,,,147,779,13-09-2017,Yes,08-11-2017,No,No,accessibility house damaged destroyed lack of security safety basic infrastructures damage,Yes,No,Yes,Yes,No,Yes,Relocation,,,,,,,
25 November 2017,ET04,ET0410,ET041003,12-09-2017,Conflict,ET05,ET0502,ET040210,Somali,Fafan,Tog-Wajale,51,186,12-09-2017,Yes,09-11-2017,No,No,accessibility lack of food house damaged destroyed lack of security safety,Yes,Yes,Yes,Yes,No,No,Relocation,,,,,,,
25 November 2017,ET04,ET0410,ET041003,12-09-2017,Conflict,ET05,ET0502,ET040210,Somali,Fafan,Tog-Wajale,48,159,12-09-2017,Yes,10-11-2017,No,No,accessibility house damaged destroyed lack of security safety,Yes,No,Yes,Yes,No,No,Relocation,,,,,,,
26 November 2017,ET04,ET0410,ET041003,21-09-2017,Conflict,ET05,ET0502,ET0411,,,,69,250,21-09-2017,Yes,20-11-2017,No,No,house damaged destroyed lack of security safety,No,No,Yes,Yes,No,No,Relocation,,,,,,,
26 November 2017,ET04,ET0410,ET041003,20-09-2017,Conflict,ET05,ET0502,ET0411,,,,65,158,20-09-2017,Yes,16-11-2017,No,No,house damaged destroyed lack of security safety,No,No,Yes,Yes,No,No,Relocation,,,,,,,
26 November 2017,ET04,ET0410,ET041003,13-09-2017,Conflict,ET05,ET0502,ET040210,Somali,Fafan,Tog-Wajale,98,301,13-09-2017,Yes,09-11-2017,No,No,Unknown,No,No,No,No,No,No,Relocation,,,,,,,
26 November 2017,ET04,ET0410,ET041003,20-09-2017,Conflict,ET05,ET0502,ET0411,,,,46,189,20-09-2017,Yes,21-11-2017,No,No,house damaged destroyed lack of security safety,No,No,Yes,Yes,No,No,Relocation,,,,,,,
26 November 2017,ET04,ET0410,ET041003,19-09-2017,Conflict,ET05,ET0502,ET0411,,,,43,89,19-09-2017,Yes,21-11-2017,No,No,house damaged destroyed lack of security safety,No,No,Yes,Yes,No,No,Relocation,,,,,,,
26 November 2017,ET04,ET0410,ET041003,12-09-2017,Conflict,ET05,ET0502,ET040210,Somali,Fafan,Tog-Wajale,61,536,12-09-2017,Yes,09-11-2017,No,No,accessibility lack of food house damaged destroyed lack of security safety basic infrastructures damage,Yes,Yes,Yes,Yes,No,Yes,Relocation,,,,,,,
27 November 2017,ET04,ET0410,ET041003,22-09-2017,Conflict,ET05,ET0502,ET040210,,,,112,190,22-09-2017,Yes,17-11-2017,No,No,house damaged destroyed lack of security safety,No,No,Yes,Yes,No,No,Relocation,,,,,,,
27 November 2017,ET04,ET0410,ET041003,12-09-2017,Conflict,ET05,ET0502,ET040210,Somali,Fafan,Hareshen,166,412,12-09-2017,Yes,20-10-2017,No,No,house damaged destroyed lack of security safety,No,No,Yes,Yes,No,No,Relocation,,,,,,,
27 November 2017,ET04,ET0410,ET041003,19-09-2017,Conflict,ET05,ET0502,ET040210,,,,27,111,19-09-2017,Yes,23-11-2017,No,No,house damaged destroyed lack of security safety,No,No,Yes,Yes,No,No,Relocation,,,,,,,
26 November 2017,ET04,ET0410,ET041003,11-09-2017,Conflict,ET05,ET0502,ET040210,,,,35,108,11-09-2017,Yes,18-11-2017,No,No,accessibility lack of food house damaged destroyed lack of security safety basic infrastructures damage,Yes,Yes,Yes,Yes,No,Yes,Relocation,,,,,,,
27 November 2017,ET04,ET0410,ET041003,17-09-2017,Conflict,ET05,ET0502,ET040210,,,,27,78,17-09-2017,Yes,22-11-2017,No,No,Unknown,No,No,No,No,No,No,Relocation,,,,,,,
27 November 2017,ET04,ET0410,ET041003,16-09-2017,Conflict,ET05,ET0502,ET040210,,,,157,540,16-09-2017,Yes,20-11-2017,No,No,house damaged destroyed lack of security safety,No,No,Yes,Yes,No,No,Relocation,,,,,,,
27 November 2017,ET04,ET0410,ET041003,11-09-2017,Conflict,ET05,ET0502,ET040210,Somali,Fafan,Tog-Wajale,127,268,11-09-2017,Yes,04-11-2017,No,No,lack of security safety no livelihood,No,No,No,Yes,Yes,No,Relocation,,,,,,,
27 November 2017,ET04,ET0410,ET041003,24-09-2017,Conflict,ET05,ET0502,ET040210,,,,40,158,24-09-2017,Yes,21-11-2017,No,No,house damaged destroyed lack of security safety,No,No,Yes,Yes,No,No,Relocation,,,,,,,
29 November 2017,ET04,ET0410,ET041014,19-09-2017,Conflict,ET05,ET0502,ET040210,Somali,Fafan,Tog-Wajale,58,191,19-09-2017,Yes,16-11-2017,No,No,house damaged destroyed lack of security safety,No,No,Yes,Yes,No,No,Relocation,,,,,,,
29 November 2017,ET04,ET0410,ET041014,14-09-2017,Conflict,ET05,ET0502,ET040210,Somali,Fafan,Tog-Wajale,62,275,14-09-2017,Yes,19-11-2017,No,No,house damaged destroyed lack of security safety,No,No,Yes,Yes,No,No,Reintegration,land resources id documentation,No,Yes,Yes,No,No,No
27 November 2017,ET04,ET0410,ET041014,16-09-2017,Conflict,ET05,ET0502,ET040210,Somali,Fafan,Tog-Wajale,50,146,16-09-2017,Yes,09-11-2017,No,No,house damaged destroyed lack of security safety,No,No,Yes,Yes,No,No,Reintegration,land resources id documentation access services,No,Yes,Yes,Yes,No,No
17 November 2017,ET04,ET0410,ET041006,14-09-2017,Conflict,ET05,ET0502,ET040210,,,,41,154,14-09-2017,Yes,09-10-2017,No,No,house damaged destroyed lack of security safety,No,No,Yes,Yes,No,No,Reintegration,land resources id documentation access services,No,Yes,Yes,Yes,No,No
16 November 2017,ET04,ET0410,ET041006,16-09-2017,Conflict,ET05,ET0502,ET040210,,,,73,287,16-09-2017,Yes,05-10-2017,No,No,house damaged destroyed lack of security safety,No,No,Yes,Yes,No,No,Reintegration,land resources id documentation access services,No,Yes,Yes,Yes,No,No
18 November 2017,ET04,ET0410,ET041006,18-09-2017,Conflict,ET05,ET0502,ET040210,,,,62,221,18-09-2017,Yes,07-10-2017,No,No,house damaged destroyed lack of security safety,No,No,Yes,Yes,No,No,Reintegration,land resources access services,No,Yes,No,Yes,No,No
07 December 2017,ET04,ET0410,ET041002,04-12-2017,Conflict,ET05,ET0502,ET040210,,,,3105,15525,04-12-2017,Yes,06-12-2017,Unknown,No,lack of food house damaged destroyed no livelihood,No,Yes,Yes,No,Yes,No,Relocation,,,,,,,
08 November 2017,ET04,ET0410,ET041002,09-07-2017,Conflict,ET05,ET0502,ET050283,Somali,Fafan,Tuliguled,690,3450,09-07-2017,Yes,16-07-2017,Yes,No,house damaged destroyed lack of security safety no livelihood,No,No,Yes,Yes,Yes,No,Reintegration,land resources access services,No,Yes,No,Yes,No,No
21 November 2017,ET04,ET0410,ET041008,26-09-2017,Conflict,ET05,ET0502,ET040210,,,,122,375,26-09-2017,Yes,21-11-2017,No,No,house damaged destroyed lack of security safety,No,No,Yes,Yes,No,No,Reintegration,land resources id documentation access services livestock restocking,No,Yes,Yes,Yes,No,Yes
20 November 2017,ET04,ET0410,ET041008,15-09-2017,Conflict,ET05,ET0502,ET040210,,,,149,466,15-09-2017,Yes,02-10-2017,No,No,house damaged destroyed lack of security safety,No,No,Yes,Yes,No,No,Reintegration,livelihood livestock restocking,Yes,No,No,No,No,Yes
02 December 2017,ET04,ET0410,ET041020,15-09-2017,Conflict,ET05,ET0502,ET040210,,,,60,132,15-09-2017,Yes,24-11-2017,No,No,house damaged destroyed lack of security safety,No,No,Yes,Yes,No,No,Relocation,,,,,,,
02 November 2017,ET04,ET0410,ET041020,13-09-2017,Conflict,ET05,ET0502,ET040210,Somali,Fafan,Tog-Wajale,130,680,13-09-2017,Yes,25-11-2017,No,No,house damaged destroyed lack of security safety,No,No,Yes,Yes,No,No,Relocation,,,,,,,
02 November 2017,ET04,ET0410,ET041020,23-09-2017,Conflict,ET05,ET0502,ET040210,Somali,Fafan,Tog-Wajale,74,185,23-09-2017,Yes,04-11-2017,No,Yes,,,,,,,,Relocation,,,,,,,
23 November 2017,ET04,ET0410,ET041009,16-10-2017,Conflict,ET05,ET0502,ET040210,,,,451,1464,16-10-2017,Yes,20-11-2017,No,No,house damaged destroyed lack of security safety,No,No,Yes,Yes,No,No,Relocation,,,,,,,
08 December 2017,ET04,ET0410,ET041009,14-09-2017,Conflict,ET05,ET0501,ET050103,Somali,Fafan,Jijiga,183,915,14-09-2017,Yes,14-09-2017,Unknown,No,lack of food house damaged destroyed lack of security safety,No,Yes,Yes,Yes,No,No,Relocation,,,,,,,
06 November 2017,ET04,ET0410,ET041001,14-09-2017,Conflict,ET05,ET0502,ET040210,,,,42,118,14-09-2017,Yes,05-11-2017,No,No,house damaged destroyed lack of security safety,No,No,Yes,Yes,No,No,Reintegration,land resources id documentation access services,No,Yes,Yes,Yes,No,No
10 November 2017,ET04,ET0410,ET041005,16-09-2017,Conflict,ET05,ET0502,ET040210,,,,325,1078,16-09-2017,Yes,10-11-2017,No,No,house damaged destroyed lack of security safety,No,No,Yes,Yes,No,No,Reintegration,land resources access services livestock restocking,No,Yes,No,Yes,No,Yes
12 November 2017,ET04,ET0410,ET041005,13-09-2017,Conflict,ET05,ET0502,ET040210,,,,372,1451,13-09-2017,Yes,09-11-2017,No,Yes,,,,,,,,Reintegration,Land/Resources,No,Yes,No,No,No,No
11 November 2017,ET04,ET0410,ET041005,15-09-2017,Conflict,ET05,ET0502,ET040210,,,,439,1471,15-09-2017,Yes,09-11-2017,No,No,house damaged destroyed lack of security safety,No,No,Yes,Yes,No,No,Reintegration,livelihood access services livestock restocking,Yes,No,No,Yes,No,Yes
11 November 2017,ET04,ET0410,ET041005,15-09-2017,Conflict,ET05,ET0502,ET040210,,,,358,1120,15-09-2017,Yes,10-11-2017,No,No,house damaged destroyed lack of security safety,No,No,Yes,Yes,No,No,Reintegration,land resources access services,No,Yes,No,Yes,No,No
07 December 2017,ET04,ET0410,ET041005,16-09-2017,Conflict,ET05,ET0502,ET040210,,,,307,944,16-09-2017,Yes,28-11-2017,No,No,house damaged destroyed lack of security safety,No,No,Yes,Yes,No,No,Reintegration,id documentation access services,No,No,Yes,Yes,No,No
10 November 2017,ET04,ET0410,ET041005,17-09-2017,Conflict,ET05,ET0502,ET040210,,,,798,2336,17-09-2017,Yes,08-11-2017,No,No,house damaged destroyed lack of security safety,No,No,Yes,Yes,No,No,Reintegration,Access To Services,No,No,No,Yes,No,No
07 December 2017,ET04,ET0410,ET041005,18-09-2017,Conflict,ET05,ET0502,ET040210,,,,110,505,18-09-2017,Yes,30-11-2017,No,No,house damaged destroyed lack of security safety,No,No,Yes,Yes,No,No,Relocation,,,,,,,
13 November 2017,ET04,ET0410,ET041005,18-09-2017,Conflict,ET05,ET0502,ET040210,Somali,Fafan,Tog-Wajale,390,1097,18-09-2017,Yes,10-11-2017,No,No,house damaged destroyed lack of security safety,No,No,Yes,Yes,No,No,Reintegration,land resources access services livestock restocking,No,Yes,No,Yes,No,Yes
09 November 2017,ET04,ET0410,ET041004,15-09-2017,Conflict,ET04,ET0410,ET041000,,,,22,109,15-09-2017,Yes,20-09-2017,Yes,No,lack of food house damaged destroyed lack of security safety no livelihood,No,Yes,Yes,Yes,Yes,No,Reintegration,livelihood livestock restocking,Yes,No,No,No,No,Yes
09 November 2017,ET04,ET0410,ET041004,15-09-2017,Conflict,ET04,ET0410,ET041000,,,,35,175,15-09-2017,Yes,20-09-2017,Yes,No,lack of food house damaged destroyed lack of security safety no livelihood,No,Yes,Yes,Yes,Yes,No,Reintegration,livelihood safety and security,Yes,No,No,No,Yes,No
29 November 2017,ET04,ET0408,ET040810,18-09-2017,Conflict,ET05,ET0502,ET040210,Somali,Fafan,Jijiga,32,116,18-09-2017,Yes,07-11-2017,No,No,house damaged destroyed lack of security safety,No,No,Yes,Yes,No,No,Relocation,,,,,,,
22 November 2017,ET05,ET0510,ET051001,18-10-2011,Conflict,ET04,ET0412,ET041208,Oromia,Borena,Yabelo,860,8256,18-10-2011,No,,No,No,Unknown,No,No,No,No,No,No,Reintegration,livelihood land resources safety and security,Yes,Yes,No,No,Yes,No
20 November 2017,ET05,ET0510,ET051001,18-05-2012,Conflict,ET04,ET0412,ET041207,Oromia,Borena,Bule Hora,2908,21591,18-05-2012,No,,No,No,house damaged destroyed lack of security safety,No,No,Yes,Yes,No,No,Reintegration,livelihood land resources safety and security,Yes,Yes,No,No,Yes,No
09 November 2017,ET05,ET0509,ET050901,13-05-2012,Conflict,ET05,ET15,ET051187,Somali,Dawa,Mubarak,200,1114,13-05-2012,Yes,15-06-2012,No,No,lack of food house damaged destroyed lack of security safety no livelihood,No,Yes,Yes,Yes,Yes,No,Reintegration,livelihood land resources,Yes,Yes,No,No,No,No
15 November 2017,ET05,ET0509,ET050901,15-04-2012,Conflict,ET05,ET15,ET051187,Somali,Dawa,Mubarak,216,2010,15-04-2012,Yes,26-06-2012,No,No,lack of security safety no livelihood,No,No,No,Yes,Yes,No,Reintegration,livelihood land resources safety and security livestock restocking,Yes,Yes,No,No,Yes,Yes
13 November 2017,ET05,ET0509,ET050901,14-04-2012,Conflict,ET05,ET15,ET051187,Somali,Dawa,Mubarak,196,1845,14-04-2012,Yes,26-06-2012,No,No,lack of food house damaged destroyed lack of security safety no livelihood,No,Yes,Yes,Yes,Yes,No,Reintegration,livelihood land resources livestock restocking,Yes,Yes,No,No,No,Yes
09 November 2017,ET05,ET0509,ET050901,22-04-2012,Conflict,ET05,ET15,ET051187,Somali,Dawa,Mubarak,210,1030,22-04-2012,Yes,04-05-2012,No,No,lack of food house damaged destroyed lack of security safety no livelihood,No,Yes,Yes,Yes,Yes,No,Reintegration,livelihood land resources access services safety and security livestock restocking,Yes,Yes,No,Yes,Yes,Yes
16 November 2017,ET05,ET0509,ET050901,10-05-2012,Conflict,ET05,ET15,ET051187,Somali,Dawa,Mubarak,216,1826,10-05-2012,Yes,28-07-2012,No,No,lack of food lack of security safety no livelihood,No,Yes,No,Yes,Yes,No,Reintegration,livelihood land resources,Yes,Yes,No,No,No,No
23 November 2017,ET05,ET0509,ET050901,03-04-2012,Conflict,ET05,ET15,ET051187,Somali,Dawa,Mubarak,259,1830,03-04-2012,Yes,06-05-2012,No,No,lack of security safety no livelihood,No,No,No,Yes,Yes,No,Reintegration,livelihood land resources access services livestock restocking,Yes,Yes,No,Yes,No,Yes
10 November 2017,ET05,ET0509,ET050901,18-04-2012,Conflict,ET05,ET15,ET051187,Somali,Dawa,Mubarak,191,1541,18-04-2012,Yes,26-06-2012,No,No,lack of food house damaged destroyed lack of security safety no livelihood,No,Yes,Yes,Yes,Yes,No,Reintegration,livelihood land resources access services safety and security livestock restocking,Yes,Yes,No,Yes,Yes,Yes
22 November 2017,ET05,ET0509,ET050901,05-10-2012,Conflict,ET05,ET15,ET051187,Somali,Dawa,Mubarak,204,1337,05-10-2012,Yes,09-11-2012,No,No,lack of food lack of security safety no livelihood,No,Yes,No,Yes,Yes,No,Reintegration,livelihood land resources access services livestock restocking,Yes,Yes,No,Yes,No,Yes
21 November 2017,ET05,ET0509,ET050901,11-07-2012,Conflict,ET05,ET15,ET051187,Somali,Dawa,Mubarak,196,1276,11-07-2012,Yes,18-08-2012,No,No,lack of food lack of security safety no livelihood,No,Yes,No,Yes,Yes,No,Reintegration,livelihood land resources livestock restocking,Yes,Yes,No,No,No,Yes
14 November 2017,ET05,ET0509,ET050901,01-03-2012,Conflict,ET05,ET15,ET051187,Somali,Dawa,Mubarak,214,1521,01-03-2012,Yes,14-05-2012,No,No,lack of food house damaged destroyed lack of security safety no livelihood,No,Yes,Yes,Yes,Yes,No,Reintegration,livelihood land resources access services safety and security livestock restocking,Yes,Yes,No,Yes,Yes,Yes
13 November 2017,ET05,ET0509,ET050901,25-04-2012,Conflict,ET05,ET15,ET051187,Somali,Dawa,Mubarak,354,2712,25-04-2012,Yes,16-05-2012,No,No,lack of food lack of security safety no livelihood,No,Yes,No,Yes,Yes,No,Reintegration,livelihood land resources safety and security livestock restocking,Yes,Yes,No,No,Yes,Yes
10 November 2017,ET05,ET0509,ET050901,10-05-2012,Conflict,ET05,ET15,ET051187,Somali,Dawa,Mubarak,265,2086,10-05-2012,Yes,13-06-2012,No,No,lack of food house damaged destroyed lack of security safety no livelihood,No,Yes,Yes,Yes,Yes,No,Reintegration,livelihood land resources access services safety and security livestock restocking,Yes,Yes,No,Yes,Yes,Yes
11 November 2017,ET05,ET0509,ET050901,10-04-2012,Conflict,ET05,ET15,ET051187,Somali,Dawa,Mubarak,306,1935,10-04-2012,Yes,20-05-2012,No,No,lack of food house damaged destroyed lack of security safety no livelihood,No,Yes,Yes,Yes,Yes,No,Reintegration,livelihood land resources access services safety and security livestock restocking,Yes,Yes,No,Yes,Yes,Yes
11 November 2017,ET05,ET0509,ET050901,02-06-2012,Conflict,ET05,ET15,ET051187,Somali,Dawa,Mubarak,332,2586,02-06-2012,Yes,17-07-2012,No,No,lack of food house damaged destroyed lack of security safety no livelihood,No,Yes,Yes,Yes,Yes,No,Reintegration,livelihood land resources access services safety and security livestock restocking,Yes,Yes,No,Yes,Yes,Yes
20 November 2017,ET05,ET0509,ET050901,16-04-2012,Conflict,ET05,ET15,ET051187,Somali,Dawa,Mubarak,265,1859,16-04-2012,Yes,22-05-2012,No,No,lack of food lack of security safety no livelihood,No,Yes,No,Yes,Yes,No,Reintegration,livelihood land resources safety and security livestock restocking,Yes,Yes,No,No,Yes,Yes
12 July 2017,ET05,ET0510,ET051003,22-07-2014,Conflict,ET05,ET15,ET051187,Somali,Dawa,Mubarak,700,3920,22-07-2014,No,,No,No,accessibility no livelihood,Yes,No,No,No,Yes,No,Reintegration,Livelihood,Yes,No,No,No,No,No
26 July 2017,ET05,ET0502,ET050208,02-02-2013,Conflict,ET04,ET0410,ET041003,Oromia,East Harerge,Gursum,360,2160,02-02-2013,Yes,30-10-2015,No,Yes,,,,,,,,Return,livelihood land resources access services safety and security livestock restocking,Yes,Yes,No,Yes,Yes,Yes
11 November 2017,ET05,ET0501,ET050107,28-08-2014,Conflict,ET02,ET0203,ET020302,Afar,Gabi (Zone 3),Awash Fentale,947,6298,28-08-2014,No,,No,No,house damaged destroyed lack of security safety no livelihood,No,No,Yes,Yes,Yes,No,Reintegration,livelihood land resources access services livestock restocking,Yes,Yes,No,Yes,No,Yes
16 July 2017,ET05,ET0501,ET050106,10-04-2015,Drought,ET05,ET0501,ET050105,,,,165,1090,10-04-2015,Yes,25-05-2016,No,No,accessibility lack of food house damaged destroyed no livelihood,Yes,Yes,Yes,No,Yes,No,Reintegration,livelihood land resources id documentation access services safety and security livestock restocking,Yes,Yes,Yes,Yes,Yes,Yes
07 July 2017,ET05,ET0510,ET051002,10-08-2012,Conflict,ET04,ET0412,ET041208,Oromia,Borena,Yabelo,1960,13132,10-08-2012,No,,No,No,Unknown,No,No,No,No,No,No,Reintegration,Livelihood,Yes,No,No,No,No,No
05 November 2017,ET05,ET0510,ET051002,10-04-2013,Conflict,ET04,ET0412,ET041208,Oromia,Borena,Yabelo,340,2176,10-04-2013,No,,No,No,Unknown,No,No,No,No,No,No,Reintegration,livelihood safety and security livestock restocking,Yes,No,No,No,Yes,Yes
07 July 2017,ET05,ET0510,ET051002,20-06-2012,Conflict,ET04,ET0411,ET042105,Oromia,Bale,Seweyna,620,3906,20-06-2012,No,,No,No,Unknown,No,No,No,No,No,No,Reintegration,Livelihood,Yes,No,No,No,No,No
24 November 2017,ET05,ET0510,ET051001,15-07-2014,Conflict,ET04,ET0412,ET041208,Oromia,Borena,Yabelo,783,8652,15-07-2014,No,,No,No,house damaged destroyed lack of security safety basic infrastructures damage,No,No,Yes,Yes,No,Yes,Reintegration,livelihood access services safety and security livestock restocking,Yes,No,No,Yes,Yes,Yes
26 November 2017,ET05,ET0510,ET051001,21-05-2012,Conflict,ET04,ET0412,ET041208,Oromia,Borena,Yabelo,1136,10877,21-05-2012,No,,No,No,accessibility lack of security safety,Yes,No,No,Yes,No,No,Reintegration,livelihood safety and security livestock restocking,Yes,No,No,No,Yes,Yes
22 November 2017,ET05,ET0510,ET051001,20-07-2012,Conflict,ET04,ET0412,ET041208,Oromia,Borena,Yabelo,526,5050,20-07-2012,No,,No,No,Unknown,No,No,No,No,No,No,Reintegration,livelihood safety and security livestock restocking,Yes,No,No,No,Yes,Yes
06 November 2017,ET05,ET0505,ET050503,07-01-2017,Drought,ET05,ET0505,ET050503,Somali,Korahe,Shilabo,105,537,07-01-2017,Yes,28-10-2017,No,No,lack of food house damaged destroyed no livelihood,No,Yes,Yes,No,Yes,No,Reintegration,livelihood land resources id documentation access services livestock restocking,Yes,Yes,Yes,Yes,No,Yes
07 November 2017,ET05,ET0502,ET050206,01-01-1997,Drought,ET05,ET0510,ET071302,Somali,Afder,Raso,1320,8745,01-01-1997,Yes,10-12-2004,Yes,No,accessibility lack of food house damaged destroyed no livelihood basic infrastructures damage,Yes,Yes,Yes,No,Yes,Yes,Reintegration,livelihood land resources id documentation access services safety and security livestock restocking,Yes,Yes,Yes,Yes,Yes,Yes
26 November 2017,ET05,ET0502,ET050201,25-01-2013,Conflict,ET04,ET0410,ET041000,Oromia,East Harerge,Babile,673,4577,25-01-2013,Yes,01-10-2017,No,No,accessibility lack of food house damaged destroyed lack of security safety no livelihood basic infrastructures damage,Yes,Yes,Yes,Yes,Yes,Yes,Reintegration,livelihood land resources id documentation access services safety and security livestock restocking,Yes,Yes,Yes,Yes,Yes,Yes
27 November 2017,ET05,ET0502,ET050201,08-06-2014,Conflict,ET04,ET0410,ET041014,Oromia,East Harerge,Fedis,376,2819,08-06-2014,Yes,23-10-2017,No,No,accessibility lack of food house damaged destroyed lack of security safety no livelihood,Yes,Yes,Yes,Yes,Yes,No,Reintegration,livelihood land resources id documentation access services safety and security livestock restocking,Yes,Yes,Yes,Yes,Yes,Yes
27 November 2017,ET05,ET0502,ET050201,10-05-2014,Conflict,ET04,ET0410,ET041014,Oromia,East Harerge,Fedis,186,1377,10-05-2014,Yes,17-09-2017,No,No,accessibility lack of food house damaged destroyed lack of security safety no livelihood basic infrastructures damage,Yes,Yes,Yes,Yes,Yes,Yes,Reintegration,livelihood land resources id documentation access services safety and security livestock restocking,Yes,Yes,Yes,Yes,Yes,Yes
